nama_rptra,wilayah,kecamatan,kelurahan,lat,lon,confidence,nominatim_display_name
Utakase Berseri,KOTA ADM. JAKARTA TIMUR,Matraman,Utan Kayu Selatan,-6.2033061,106.8687494,"LOW - kelurahan centroid only, not the actual park","Utan Kayu Selatan, Matraman, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Jawa, 13130, Indonesia"
Puspa Hati,KOTA ADM. JAKARTA TIMUR,Matraman,Utan Kayu Selatan,-6.2033061,106.8687494,"LOW - kelurahan centroid only, not the actual park","Utan Kayu Selatan, Matraman, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Jawa, 13130, Indonesia"
Kenanga,KOTA ADM. JAKARTA PUSAT,Gambir,Cideng,-6.1670690,106.8074561,medium - name matched in result,"RPTRA Kenanga, Cideng, Gambir, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10150, Indonesia"
Mustika,KOTA ADM. JAKARTA PUSAT,Gambir,Cideng,-6.1736811,106.8092825,"LOW - kelurahan centroid only, not the actual park","Cideng, Gambir, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10150, Indonesia"
Kejora,KOTA ADM. JAKARTA PUSAT,Gambir,Petojo Utara,-6.1624136,106.8179565,medium - name matched in result,"RPTRA Kejora, Petojo Utara, Gambir, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10160, Indonesia"
Flamboyan Kejora,KOTA ADM. JAKARTA PUSAT,Gambir,Petojo Utara,-6.1655438,106.8153732,"LOW - kelurahan centroid only, not the actual park","Petojo Utara, Gambir, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10160, Indonesia"
Tanah Abang 3,KOTA ADM. JAKARTA PUSAT,Gambir,Petojo Selatan,-6.1769119,106.8147803,medium - name matched in result,"RPTRA Tanah Abang 3, Petojo Selatan, Gambir, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10160, Indonesia"
Melati Duri Pulo,KOTA ADM. JAKARTA PUSAT,Gambir,Duri Pulo,-6.1635081,106.8093186,medium - name matched in result,"RPTRA Melati Duri Pulo, Duri Pulo, Gambir, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10140, Indonesia"
Pintu Air,KOTA ADM. JAKARTA PUSAT,Sawah Besar,Pasar Baru,-6.1630979,106.8289157,medium - name matched in result,"RPTRA Pintu Air, Pasar Baru, Sawah Besar, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Jaya Molek,KOTA ADM. JAKARTA PUSAT,Sawah Besar,Pasar Baru,-6.1649010,106.8334669,"LOW - kelurahan centroid only, not the actual park","Pasar Baru, Sawah Besar, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Karang Anyar,KOTA ADM. JAKARTA PUSAT,Sawah Besar,Karang Anyar,-6.1516060,106.8272504,medium - name matched in result,"RPTRA Karang Anyar, Karang Anyar, Sawah Besar, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Sahara,KOTA ADM. JAKARTA PUSAT,Sawah Besar,Gunung Sahari Utara,-6.1504141,106.8376909,"LOW - kelurahan centroid only, not the actual park","Gunung Sahari Utara, Sawah Besar, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Madusela,KOTA ADM. JAKARTA PUSAT,Sawah Besar,Mangga Dua Selatan,-6.1458284,106.8258421,medium - name matched in result,"RPTRA Madusela Sedayu, Mangga Dua Selatan, Sawah Besar, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Bandar Kemayoran,KOTA ADM. JAKARTA PUSAT,Kemayoran,Kemayoran,-6.1628213,106.8483348,medium - name matched in result,"RPTRA Bandar Kemayoran, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Harapan Mulia,KOTA ADM. JAKARTA PUSAT,Kemayoran,Harapan Mulia,-6.1699867,106.8549307,"LOW - kelurahan centroid only, not the actual park","RPTRA Harapan Mulia Agung Sedayu Group, Harapan Mulya, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
