periode_data,wilayah,kecamatan,kelurahan,nama_rptra
2023,KOTA ADM. JAKARTA BARAT,PALMERAH,JATI PULO,JATI PULO AKUR
2023,KOTA ADM. JAKARTA BARAT,PALMERAH,KEMANGGISAN,MANGGIS
2023,KOTA ADM. JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,BAMBU KUNING
2023,KOTA ADM. JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,KEMBANGAN
2023,KOTA ADM. JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,KAMPUNG BARU
2023,KOTA ADM. JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,MERUYA UTARA
2023,KOTA ADM. JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,NUSA INDAH
2023,KOTA ADM. JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,KECAPI 72
2023,KOTA ADM. JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,MERUYA SELATAN
2023,KOTA ADM. JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,MAHKOTA
2023,KOTA ADM. JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,MENARA
2023,KOTA ADM. JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,MANUVER
2023,KOTA ADM. JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,MANUNGGAL
2023,KOTA ADM. JAKARTA BARAT,KEMBANGAN,SRENGSENG,EDELWEISS PQT
2023,KOTA ADM. JAKARTA BARAT,KEMBANGAN,JOGLO,JOGLO
2023,KOTA ADM. JAKARTA BARAT,KEMBANGAN,JOGLO,RIA DAMKAR JOGLO 2
2023,KOTA ADM. JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,KEMBANGAN SELATAN
2023,KOTA ADM. JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,CERIA
2023,KOTA ADM. JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,UTAMA
2023,KOTA ADM. JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,SEHATI
2023,KOTA ADM. JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,SERASI
2023,KOTA ADM. JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,DURI KOSAMBI
2023,KOTA ADM. JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,MAWAR (105)
2023,KOTA ADM. JAKARTA BARAT,CENGKARENG,RAWA BUAYA,INTILAND TEDUH RAWA BUAYA
2023,KOTA ADM. JAKARTA BARAT,CENGKARENG,RAWA BUAYA,CEMPAKA
2023,KOTA ADM. JAKARTA BARAT,CENGKARENG,RAWA BUAYA,SUGRIWA
2023,KOTA ADM. JAKARTA BARAT,CENGKARENG,RAWA BUAYA,CARINA SAYANG
2023,KOTA ADM. JAKARTA BARAT,CENGKARENG,RAWA BUAYA,CABE RAWIT
2023,KOTA ADM. JAKARTA BARAT,CENGKARENG,KEDAUNG KALIANGKE,TAWANG MANGU INDAH
2023,KOTA ADM. JAKARTA BARAT,CENGKARENG,KRENDANG,KRENDANG
2023,KOTA ADM. JAKARTA BARAT,CENGKARENG,KAPUK,MELATI INDAH
2023,KOTA ADM. JAKARTA BARAT,CENGKARENG,KAPUK,TAMAN PEDONGKELAN
2023,KOTA ADM. JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,CENGKARENG TIMUR BERSERI
2023,KOTA ADM. JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,PUSPA INDAH
2023,KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,RAMBUTAN
2023,KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,TAMAN APEL
2023,KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,MANDALA
2023,KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,SATRIA JELAMBAR
2023,KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,AMANAH BUNDA
2023,KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,DUTA MAS
2023,KOTA ADM. JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,WIJAYA KUSUMA
2023,KOTA ADM. JAKARTA SELATAN,TEBET,TEBET TIMUR,TERATAI
2023,KOTA ADM. JAKARTA SELATAN,TEBET,TEBET TIMUR,TAMAN MANDALA
2023,KOTA ADM. JAKARTA SELATAN,TEBET,TEBET BARAT,AKASIA
2023,KOTA ADM. JAKARTA SELATAN,TEBET,MENTENG DALAM,RASAMALA
2023,KOTA ADM. JAKARTA SELATAN,TEBET,MENTENG DALAM,FLAMBOYAN
2023,KOTA ADM. JAKARTA SELATAN,TEBET,MANGGARAI,PESONA MANGGARAI
2023,KOTA ADM. JAKARTA SELATAN,SETIABUDI,MENTENG ATAS,SAHARJO MENTAS
2023,KOTA ADM. JAKARTA SELATAN,SETIABUDI,MENTENG ATAS,TAMAN BATU
2023,KOTA ADM. JAKARTA SELATAN,SETIABUDI,MENTENG ATAS,KEBON SAWO
